epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.567,1.37441,7.56282,0.87261,0.18014,0.11781,0.05928,0.04431,1.55461,2.1637,0.79807,3.99855e-05,3.99855e-05,3.99855e-05
2,1528.61,1.22465,4.34058,0.85007,0.17897,0.22233,0.11662,0.09243,1.45389,1.77532,0.78881,7.2067e-05,7.2067e-05,7.2067e-05
3,2268.51,1.134,2.68976,0.84545,0.3055,0.27712,0.19772,0.16409,1.33447,1.52058,0.78313,9.62284e-05,9.62284e-05,9.62284e-05
4,2994.17,1.08831,2.00504,0.84427,0.37341,0.35564,0.28284,0.24022,1.29294,1.34885,0.78062,8.436e-05,8.436e-05,8.436e-05
5,3721.57,1.04171,1.67938,0.83744,0.44865,0.37953,0.34379,0.29542,1.2483,1.3798,0.77744,7.248e-05,7.248e-05,7.248e-05
6,4448.49,1.00524,1.48313,0.83193,0.52344,0.40554,0.39119,0.3391,1.23674,1.32228,0.77565,6.06e-05,6.06e-05,6.06e-05
7,5174.23,0.97401,1.35218,0.8304,0.54739,0.44107,0.42469,0.36909,1.20767,1.22417,0.77498,4.872e-05,4.872e-05,4.872e-05
8,5898.8,0.9415,1.25145,0.82666,0.5718,0.45574,0.4513,0.3946,1.1578,1.22015,0.77236,3.684e-05,3.684e-05,3.684e-05
9,6622.55,0.92076,1.1869,0.82258,0.59108,0.46432,0.46747,0.41067,1.15398,1.1907,0.77113,2.496e-05,2.496e-05,2.496e-05
10,7344.59,0.89704,1.13574,0.82006,0.59736,0.47289,0.47946,0.42136,1.13715,1.16948,0.77021,1.308e-05,1.308e-05,1.308e-05
