epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.767,2.05567,5.36129,0.83652,0.61454,0.38271,0.40229,0.18768,1.87538,2.14536,0.71056,0.00047607,0.00047607,0.00047607
2,906.3,1.83298,0.97895,0.81393,0.79349,0.35926,0.48048,0.23748,1.89126,1.47697,0.71008,0.000858116,0.000858116,0.000858116
3,1338.77,1.72354,0.85017,0.80753,0.72594,0.4286,0.49099,0.24655,1.74321,1.58382,0.70622,0.00114585,0.00114585,0.00114585
4,1766.61,1.62685,0.77546,0.80157,0.78197,0.44152,0.53468,0.28064,1.59428,1.39776,0.70104,0.00100459,0.00100459,0.00100459
5,2192.4,1.53232,0.7184,0.79484,0.80474,0.46658,0.5676,0.31485,1.5855,1.54813,0.69853,0.000863116,0.000863116,0.000863116
6,2618.97,1.45135,0.66702,0.79081,0.81437,0.47531,0.58752,0.32277,1.51712,1.29587,0.69721,0.000721645,0.000721645,0.000721645
7,3046.3,1.37502,0.63025,0.78941,0.83041,0.47918,0.61033,0.35174,1.43224,1.31339,0.69398,0.000580174,0.000580174,0.000580174
8,3478.04,1.31215,0.59956,0.78843,0.81575,0.48772,0.61062,0.35402,1.41037,1.2563,0.69456,0.000438703,0.000438703,0.000438703
9,3911.28,1.25108,0.56798,0.78274,0.83281,0.49714,0.63114,0.38034,1.32154,1.09309,0.69251,0.000297232,0.000297232,0.000297232
10,4342.58,1.17979,0.53513,0.78238,0.82868,0.50383,0.64166,0.38952,1.29724,1.03462,0.69192,0.000155761,0.000155761,0.000155761
